GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,Students Gender,就讀學生性別,Session,學校授課時間,District,分區,Finance Type,資助種類,School Level,學校類型,Telephone,聯絡電話,Fax Number,傳真號碼,Website,網頁,Religion,宗教,SCHOOL NO.,學校編號,Northing,Easting,Latitude,Longitude,Last Update
"jzcT69oSnq","Aided Primary Schools","FUK TAK EDUCATION SOCIETY PRIMARY SCHOOL","SHAN TSUI VILLAGE SHA TAU KOK NEW TERRITORIES","資助小學","福德學社小學","新界沙頭角山咀村","CO-ED","男女","WHOLE DAY","全日","NORTH","北區","AIDED","資助","PRIMARY","小學","26742120","26742120","26592056","26592056","http://www.ftesps.edu.hk","http://www.ftesps.edu.hk","NOT APPLICABLE","不適用","112836000123","112836000123","845529.0","841091.0","22.54953","114.22376","2019-07-16 03:13:06"
"Dx2dsNSNAi","Aided Primary Schools","YUEN LONG PO KOK PRIMARY SCHOOL","55 TAN KWAI TSUEN ROAD, HUNG SHUI KIU, YUEN LONG, NEW TERRITORIES","資助小學","元朗寶覺小學","新界元朗洪水橋丹桂村路５５號","CO-ED","男女","WHOLE DAY","全日","YUEN LONG","元朗區","AIDED","資助","PRIMARY","小學","24762258","24762258","24746894","24746894","http://www.ylpokok.edu.hk","http://www.ylpokok.edu.hk","BUDDHISM","佛教","112755000123","112755000123","832314.0","817955.0","22.43011","113.99899","2019-07-16 03:12:56"
"2137I71kHq","Aided Primary Schools","TSUEN WAN TRADE ASSOCIATION PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO 1 TSING YI ESTATE AREA 1 TSING YI ISLAND NEW TERRITORIES","資助小學","荃灣商會學校","新界青衣島青衣邨一區第一屋邨小學","CO-ED","男女","WHOLE DAY","全日","KWAI TSING","葵青區","AIDED","資助","PRIMARY","小學","24977911","24977911","24951133","24951133","http://www.twtaps.edu.hk","http://www.twtaps.edu.hk","NOT APPLICABLE","不適用","115150000123","115150000123","823867.0","828628.0","22.35391","114.1027","2019-07-16 03:12:00"
"a9X3lwgOdd","Aided Primary Schools","HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE CHAN LUI CHUNG TAK MEMORIAL SCHOOL","KO CHIU ROAD YAU TONG KOWLOON","資助小學","香港道教聯合會圓玄學院陳呂重德紀念學校","九龍油塘高超道","CO-ED","男女","WHOLE DAY","全日","KWUN TONG","觀塘區","AIDED","資助","PRIMARY","小學","27099978","27099978","27720311","27720311","http://www.clcts.edu.hk","http://www.clcts.edu.hk","TAOISM","道教","518441000123","518441000123","817955.0","842753.0","22.30052","114.23981","2019-03-27 04:05:36"
"IibgPXgpeD","Aided Primary Schools","HO LAP PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN)","88 SHEUNG FUNG STREET, TSZ WAN SHAN, KOWLOON","資助小學","嗇色園主辦可立小學","九龍慈雲山雙鳯街８８號","CO-ED","男女","WHOLE DAY","全日","WONG TAI SIN","黃大仙區","AIDED","資助","PRIMARY","小學","23216003","23216003","23217710","23217710","http://www.holap-p.edu.hk","http://www.holap-p.edu.hk","CONFUCIANISM,BUDDHISM & TAOISM","儒釋道三教","518492000123","518492000123","823127.0","838474.0","22.34724","114.19829","2019-03-27 04:03:25"
"BC7jStdQ7r","Aided Primary Schools","PO ON COMMERCIAL ASSOCIATION WAN HO KAN PRIMARY SCHOOL","PRIMARY SCHOOL NO 2 FU TUNG ESTATE TUNG CHUNG LANTAU ISLAND N T","資助小學","寶安商會溫浩根小學","新界大嶼山東涌富東邨第二號小學校舍","CO-ED","男女","WHOLE DAY","全日","ISLANDS","離島區","AIDED","資助","PRIMARY","小學","21090045","21090045","21090047","21090047","http://www.pocawhk.edu.hk","http://www.pocawhk.edu.hk","NOT APPLICABLE","不適用","522066000123","522066000123","816605.0","812230.0","22.28818","113.94361","2019-03-27 04:02:56"
"KYgH7NSefX","Aided Primary Schools","S.K.H. TIN WAN CHI NAM PRIMARY SCHOOL","5 TIN WAN NEW STREET ABERDEEN HONG KONG","資助小學","聖公會田灣始南小學","香港香港仔田灣新街五號","CO-ED","男女","WHOLE DAY","全日","SOUTHERN","南區","AIDED","資助","PRIMARY","小學","25508326","25508326","25518258","25518258","http://www.tcn.edu.hk","http://www.tcn.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","530000000123","530000000123","812563.0","833613.0","22.25184","114.15112","2019-03-27 04:02:21"
"TDtQUadWn5","Aided Primary Schools","LING LIANG CHURCH SAU TAK PRIMARY SCHOOL","35 MAN TUNG ROAD TUNG CHUNG LANTAU ISLAND NEW TERRITORIES (INCLUDING 2 CARGO CONTAINERS FOR STORAGE OF FURNITURE & EQUIPMENT IN THE PARKING AREA)","資助小學","靈糧堂秀德小學","新界大嶼山東涌文東路３５號（包括停車場內的２個貨櫃）","CO-ED","男女","WHOLE DAY","全日","ISLANDS","離島區","AIDED","資助","PRIMARY","小學","21094688","21094688","21094699","21094699","http://www.llcst.edu.hk","http://www.llcst.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","530026000123","530026000123","816838.0","812409.0","22.29028","113.94535","2019-03-27 04:02:12"
"QF2gH33YcG","Aided Primary Schools","HKFEW WONG CHO BAU SCHOOL","YAT TUNG ESTATE, TUNG CHUNG, LANTAU ISLAND, NEW TERRITORIES","資助小學","香港教育工作者聯會黃楚標學校","新界大嶼山東涌逸東邨","CO-ED","男女","WHOLE DAY","全日","ISLANDS","離島區","AIDED","資助","PRIMARY","小學","21090087","21090087","21090086","21090086","http://www.hkfewwcb.edu.hk","http://www.hkfewwcb.edu.hk","NOT APPLICABLE","不適用","535672000223","535672000223","815822.0","811561.0","22.2811","113.93713","2019-03-27 04:02:04"
"jOUXlEX5Xv","Aided Primary Schools","HOLY FAMILY CANOSSIAN SCHOOL (KOWLOON TONG)","8 TIM FUK ROAD KOWLOON TONG KOWLOON","資助小學","嘉諾撒聖家學校（九龍塘）","九龍九龍塘添福道８號","GIRLS","女","WHOLE DAY","全日","KOWLOON CITY","九龍城區","AIDED","資助","PRIMARY","小學","23365981","23365981","23365598","23365598","http://www.holyfamilykt.edu.hk","http://www.holyfamilykt.edu.hk","CATHOLICISM","天主教","540196000223","540196000223","821935.0","836447.0","22.33648","114.17861","2019-03-27 04:01:01"
